,longitude,latitude,day,month,year,native,species,DOY,geometry,ClimateDivision
132,-119.926,34.058,23,04,1979,yes,Lasthenia californica,113,POINT (-119.926 34.058),6
135,-120.914,35.79,19,05,1982,yes,Lasthenia californica,139,POINT (-120.914 35.79),4
136,-117.635,34.409,03,04,1997,yes,Lasthenia californica,93,POINT (-117.635 34.409),7
137,-121.183,35.969,17,04,1983,yes,Lasthenia californica,107,POINT (-121.183 35.969),4
138,-121.158,35.959,12,05,1982,yes,Lasthenia californica,132,POINT (-121.158 35.959),4
139,-120.777,36.358,18,05,1982,yes,Lasthenia californica,138,POINT (-120.777 36.358),4
140,-119.136,34.454,08,04,2001,yes,Lasthenia californica,98,POINT (-119.136 34.454),6
141,-121.155,35.958,05,03,1995,yes,Lasthenia californica,64,POINT (-121.155 35.958),4
142,-118.528,32.942,24,04,1991,yes,Lasthenia californica,114,POINT (-118.528 32.942),6
143,-121.379,38.981,28,03,2013,yes,Lasthenia californica,87,POINT (-121.379 38.981),2
152,-117.093,32.883,14,04,1993,yes,Lasthenia californica,104,POINT (-117.093 32.883),6
153,-121.849,40.347,28,03,1987,yes,Lasthenia californica,87,POINT (-121.849 40.347),2
154,-117.573,35.105,02,04,1988,yes,Lasthenia californica,93,POINT (-117.573 35.105),7
156,-116.868,33.042,20,03,1995,yes,Lasthenia californica,79,POINT (-116.868 33.042),6
157,-124.076,40.028,24,05,1981,yes,Lasthenia californica,144,POINT (-124.076 40.028),1
158,-122.676,39.632,14,04,1976,yes,Lasthenia californica,105,POINT (-122.676 39.632),2
159,-122.453,39.028,14,04,1979,yes,Lasthenia californica,104,POINT (-122.453 39.028),2
160,-117.542,34.992,24,03,1977,yes,Lasthenia californica,83,POINT (-117.542 34.992),7
161,-123.559,40.501,20,04,1977,yes,Lasthenia californica,110,POINT (-123.559 40.501),1
162,-121.215,38.772,10,04,1979,yes,Lasthenia californica,100,POINT (-121.215 38.772),2
164,-123.409,40.278,25,05,1980,yes,Lasthenia californica,146,POINT (-123.409 40.278),1
165,-122.912,40.593,06,05,1973,yes,Lasthenia californica,126,POINT (-122.912 40.593),1
166,-122.496,39.1,19,04,1980,yes,Lasthenia californica,110,POINT (-122.496 39.1),2
167,-122.377,39.015,02,04,1978,yes,Lasthenia californica,92,POINT (-122.377 39.015),2
169,-123.649,39.941,04,05,1976,yes,Lasthenia californica,125,POINT (-123.649 39.941),1
172,-121.778,39.719,20,04,1974,yes,Lasthenia californica,110,POINT (-121.778 39.719),2
173,-118.636,34.425,05,04,1968,yes,Lasthenia californica,96,POINT (-118.636 34.425),6
178,-122.389,39.017,29,04,1978,yes,Lasthenia californica,119,POINT (-122.389 39.017),2
179,-117.717,35.555,23,03,1971,yes,Lasthenia californica,82,POINT (-117.717 35.555),7
180,-120.849,38.186,27,03,1970,yes,Lasthenia californica,86,POINT (-120.849 38.186),5
181,-122.452,39.029,04,05,1974,yes,Lasthenia californica,124,POINT (-122.452 39.029),2
182,-122.487,39.022,08,04,1974,yes,Lasthenia californica,98,POINT (-122.487 39.022),2
183,-123.459,40.394,16,04,1970,yes,Lasthenia californica,106,POINT (-123.459 40.394),1
184,-121.549,39.605,20,04,1974,yes,Lasthenia californica,110,POINT (-121.549 39.605),2
185,-117.056,33.598,01,05,1986,yes,Lasthenia californica,121,POINT (-117.056 33.598),6
186,-123.161,39.78,29,04,1980,yes,Lasthenia californica,120,POINT (-123.161 39.78),1
187,-120.851,35.258,17,04,1989,yes,Lasthenia californica,107,POINT (-120.851 35.258),4
188,-123.598,38.809,13,06,1979,yes,Lasthenia californica,164,POINT (-123.598 38.809),1
189,-122.462,40.252,31,03,1990,yes,Lasthenia californica,90,POINT (-122.462 40.252),2
190,-122.453,40.251,31,03,1990,yes,Lasthenia californica,90,POINT (-122.453 40.251),2
191,-122.453,40.251,31,03,1990,yes,Lasthenia californica,90,POINT (-122.453 40.251),2
192,-120.851,35.258,16,04,1989,yes,Lasthenia californica,106,POINT (-120.851 35.258),4
193,-122.541,39.341,11,04,1987,yes,Lasthenia californica,101,POINT (-122.541 39.341),2
194,-117.354,33.808,02,04,1986,yes,Lasthenia californica,92,POINT (-117.354 33.808),6
195,-121.956,39.86,23,03,1972,yes,Lasthenia californica,83,POINT (-121.956 39.86),2
196,-121.215,38.772,10,04,1979,yes,Lasthenia californica,100,POINT (-121.215 38.772),2
197,-120.459,37.862,24,03,1981,yes,Lasthenia californica,83,POINT (-120.459 37.862),5
198,-122.496,39.1,19,04,1980,yes,Lasthenia californica,110,POINT (-122.496 39.1),2
199,-123.396,40.011,25,05,1980,yes,Lasthenia californica,146,POINT (-123.396 40.011),1
200,-121.222,38.744,11,04,1979,yes,Lasthenia californica,101,POINT (-121.222 38.744),2
201,-123.311,40.025,24,05,1980,yes,Lasthenia californica,145,POINT (-123.311 40.025),1
202,-123.572,39.927,01,05,1977,yes,Lasthenia californica,121,POINT (-123.572 39.927),1
203,-121.215,38.772,10,04,1979,yes,Lasthenia californica,100,POINT (-121.215 38.772),2
204,-121.825,40.346,31,03,1968,yes,Lasthenia californica,91,POINT (-121.825 40.346),2
205,-117.658,33.799,10,04,1966,yes,Lasthenia californica,100,POINT (-117.658 33.799),6
208,-123.649,39.927,17,05,1978,yes,Lasthenia californica,137,POINT (-123.649 39.927),1
209,-119.926,34.682,03,03,1967,yes,Lasthenia californica,62,POINT (-119.926 34.682),6
210,-122.453,39.028,23,04,1977,yes,Lasthenia californica,113,POINT (-122.453 39.028),2
211,-122.818,39.115,13,04,1976,yes,Lasthenia californica,104,POINT (-122.818 39.115),2
213,-123.624,40.886,07,05,1978,yes,Lasthenia californica,127,POINT (-123.624 40.886),1
216,-118.702,34.769,03,06,1967,yes,Lasthenia californica,154,POINT (-118.702 34.769),7
217,-122.452,39.026,01,04,1972,yes,Lasthenia californica,92,POINT (-122.452 39.026),2
218,-123.617,40.516,24,05,1975,yes,Lasthenia californica,144,POINT (-123.617 40.516),1
219,-122.613,37.911,22,04,1974,yes,Lasthenia californica,112,POINT (-122.613 37.911),1
220,-122.603,39.409,16,04,1981,yes,Lasthenia californica,106,POINT (-122.603 39.409),2
245,-122.284,37.468,23,03,2013,yes,Lasthenia californica,82,POINT (-122.284 37.468),4
262,-121.819,39.728,10,04,1981,yes,Lasthenia californica,100,POINT (-121.819 39.728),2
296,-120.867,37.283,06,04,2012,yes,Lasthenia californica,97,POINT (-120.867 37.283),5
329,-119.788,34.03,24,03,2006,yes,Lasthenia californica,83,POINT (-119.788 34.03),6
339,-118.89,34.21,03,04,2008,yes,Lasthenia californica,94,POINT (-118.89 34.21),6
340,-116.69,33.32,04,04,2003,yes,Lasthenia californica,94,POINT (-116.69 33.32),6
341,-120.0,34.74,02,05,1999,yes,Lasthenia californica,122,POINT (-120 34.74),6
342,-120.04,34.74,25,03,1975,yes,Lasthenia californica,84,POINT (-120.04 34.74),6
343,-117.4,34.43,27,04,1974,yes,Lasthenia californica,117,POINT (-117.4 34.43),7
346,-118.86,34.24,25,02,1978,yes,Lasthenia californica,56,POINT (-118.86 34.24),6
347,-117.77,34.74,16,04,1983,yes,Lasthenia californica,106,POINT (-117.77 34.74),7
352,-119.38,34.71,04,04,1992,yes,Lasthenia californica,95,POINT (-119.38 34.71),6
353,-118.1,35.1,07,05,1983,yes,Lasthenia californica,127,POINT (-118.1 35.1),7
356,-122.92,38.158,09,06,2013,yes,Lasthenia californica,160,POINT (-122.92 38.158),1
358,-118.374,34.723,22,04,2001,yes,Lasthenia californica,112,POINT (-118.374 34.723),7
360,-116.571,33.17,28,03,2010,yes,Lasthenia californica,87,POINT (-116.571 33.17),7
362,-120.449,34.805,01,05,1993,yes,Lasthenia californica,121,POINT (-120.449 34.805),6
363,-119.952,35.308,11,04,1992,yes,Lasthenia californica,102,POINT (-119.952 35.308),5
364,-120.402,35.126,04,04,1982,yes,Lasthenia californica,94,POINT (-120.402 35.126),6
366,-120.266,35.288,10,04,1982,yes,Lasthenia californica,100,POINT (-120.266 35.288),4
367,-120.71,35.363,13,03,1982,yes,Lasthenia californica,72,POINT (-120.71 35.363),4
368,-121.19,36.496,08,04,2010,yes,Lasthenia californica,98,POINT (-121.19 36.496),4
369,-116.002,33.73,07,09,2012,yes,Lasthenia californica,251,POINT (-116.002 33.73),7
370,-116.002,33.73,07,09,2012,yes,Lasthenia californica,251,POINT (-116.002 33.73),7
374,-122.551,38.62,04,05,2014,yes,Lasthenia californica,124,POINT (-122.551 38.62),1
375,-118.904,34.341,12,03,2011,yes,Lasthenia californica,71,POINT (-118.904 34.341),6
376,-122.168,36.99,01,05,2016,yes,Lasthenia californica,122,POINT (-122.168 36.99),4
377,-121.244,35.706,20,04,2015,yes,Lasthenia californica,110,POINT (-121.244 35.706),4
378,-122.154,36.983,08,05,1988,yes,Lasthenia californica,129,POINT (-122.154 36.983),4
379,-122.181,36.998,13,05,1993,yes,Lasthenia californica,133,POINT (-122.181 36.998),4
380,-122.416,37.234,08,07,2010,yes,Lasthenia californica,189,POINT (-122.416 37.234),4
381,-122.514,37.548,03,05,2015,yes,Lasthenia californica,123,POINT (-122.514 37.548),4
382,-122.224,37.404,23,04,2010,yes,Lasthenia californica,113,POINT (-122.224 37.404),4
388,-121.529,39.628,03,05,1969,yes,Lasthenia californica,123,POINT (-121.529 39.628),2
395,-120.941,39.094,08,04,1989,yes,Lasthenia californica,98,POINT (-120.941 39.094),2
396,-117.345,34.284,10,05,1979,yes,Lasthenia californica,130,POINT (-117.345 34.284),7
402,-118.534,34.42,30,04,1967,yes,Lasthenia californica,120,POINT (-118.534 34.42),6
403,-116.691,33.395,14,05,2010,yes,Lasthenia californica,134,POINT (-116.691 33.395),6
404,-118.409,34.514,04,05,1995,yes,Lasthenia californica,124,POINT (-118.409 34.514),6
405,-118.122,34.741,10,04,1993,yes,Lasthenia californica,100,POINT (-118.122 34.741),7
406,-118.717,34.741,14,03,1997,yes,Lasthenia californica,73,POINT (-118.717 34.741),7
411,-117.248,34.362,12,04,1986,yes,Lasthenia californica,102,POINT (-117.248 34.362),7
414,-118.458,34.373,19,04,1969,yes,Lasthenia californica,109,POINT (-118.458 34.373),6
415,-117.712,34.109,03,05,1998,yes,Lasthenia californica,123,POINT (-117.712 34.109),6
417,-119.431,34.92,26,04,2010,yes,Lasthenia californica,116,POINT (-119.431 34.92),6
418,-119.388,34.917,12,05,2009,yes,Lasthenia californica,132,POINT (-119.388 34.917),5
419,-118.309,34.221,02,05,1978,yes,Lasthenia californica,122,POINT (-118.309 34.221),6
420,-116.921,33.396,13,04,1997,yes,Lasthenia californica,103,POINT (-116.921 33.396),6
422,-117.553,35.02,10,04,1987,yes,Lasthenia californica,100,POINT (-117.553 35.02),7
423,-121.554,39.582,11,05,2005,yes,Lasthenia californica,131,POINT (-121.554 39.582),2
426,-118.808,34.778,11,04,2006,yes,Lasthenia californica,101,POINT (-118.808 34.778),6
427,-118.481,34.706,21,03,1997,yes,Lasthenia californica,80,POINT (-118.481 34.706),7
428,-119.409,34.906,19,05,2009,yes,Lasthenia californica,139,POINT (-119.409 34.906),6
429,-118.882,34.733,05,05,1970,yes,Lasthenia californica,125,POINT (-118.882 34.733),6
430,-117.811,34.131,14,04,1974,yes,Lasthenia californica,104,POINT (-117.811 34.131),6
433,-117.035,33.731,20,03,1993,yes,Lasthenia californica,79,POINT (-117.035 33.731),6
434,-118.592,34.421,14,04,2003,yes,Lasthenia californica,104,POINT (-118.592 34.421),6
435,-121.963,36.593,21,04,1989,yes,Lasthenia californica,111,POINT (-121.963 36.593),4
437,-118.001,34.492,24,03,1995,yes,Lasthenia californica,83,POINT (-118.001 34.492),7
439,-117.804,34.425,06,05,2005,yes,Lasthenia californica,126,POINT (-117.804 34.425),7
440,-120.852,38.033,26,03,2013,yes,Lasthenia californica,85,POINT (-120.852 38.033),5
442,-116.488,32.934,13,05,2003,yes,Lasthenia californica,133,POINT (-116.488 32.934),7
443,-119.408,34.006,03,04,1966,yes,Lasthenia californica,93,POINT (-119.408 34.006),6
444,-118.722,34.738,26,04,1995,yes,Lasthenia californica,116,POINT (-118.722 34.738),7
445,-118.368,34.652,05,04,1974,yes,Lasthenia californica,95,POINT (-118.368 34.652),6
446,-122.039,37.819,26,04,2014,yes,Lasthenia californica,116,POINT (-122.039 37.819),4
453,-118.796,34.751,16,04,1997,yes,Lasthenia californica,106,POINT (-118.796 34.751),6
455,-118.453,34.451,04,03,1997,yes,Lasthenia californica,63,POINT (-118.453 34.451),6
456,-119.398,34.944,30,03,2009,yes,Lasthenia californica,89,POINT (-119.398 34.944),5
457,-118.141,34.43,29,04,1973,yes,Lasthenia californica,119,POINT (-118.141 34.43),6
458,-116.646,33.65,15,05,2008,yes,Lasthenia californica,136,POINT (-116.646 33.65),6
460,-123.649,39.927,17,05,1978,yes,Lasthenia californica,137,POINT (-123.649 39.927),1
464,-116.661,33.349,04,05,2004,yes,Lasthenia californica,125,POINT (-116.661 33.349),6
465,-117.48,34.3,29,04,1995,yes,Lasthenia californica,119,POINT (-117.48 34.3),6
467,-116.101,32.644,14,03,2001,yes,Lasthenia californica,73,POINT (-116.101 32.644),7
468,-119.659,35.04,26,03,2005,yes,Lasthenia californica,85,POINT (-119.659 35.04),5
469,-116.535,32.997,19,03,2003,yes,Lasthenia californica,78,POINT (-116.535 32.997),7
470,-118.462,34.697,21,03,1997,yes,Lasthenia californica,80,POINT (-118.462 34.697),7
471,-117.26,33.808,03,04,2003,yes,Lasthenia californica,93,POINT (-117.26 33.808),6
474,-122.233,37.408,06,04,1966,yes,Lasthenia californica,96,POINT (-122.233 37.408),4
475,-117.977,35.357,21,05,1969,yes,Lasthenia californica,141,POINT (-117.977 35.357),7
476,-117.267,34.317,11,04,1993,yes,Lasthenia californica,101,POINT (-117.267 34.317),7
478,-116.094,32.622,06,05,2015,yes,Lasthenia californica,126,POINT (-116.094 32.622),7
479,-121.599,37.829,05,04,1989,yes,Lasthenia californica,95,POINT (-121.599 37.829),5
481,-119.925,34.059,20,03,1984,yes,Lasthenia californica,80,POINT (-119.925 34.059),6
482,-117.294,34.976,28,03,2011,yes,Lasthenia californica,87,POINT (-117.294 34.976),7
483,-116.57,32.69,21,04,2008,yes,Lasthenia californica,112,POINT (-116.57 32.69),6
484,-119.402,34.946,08,04,2010,yes,Lasthenia californica,98,POINT (-119.402 34.946),5
485,-117.499,34.408,12,05,1998,yes,Lasthenia californica,132,POINT (-117.499 34.408),7
486,-116.503,34.143,23,04,2011,yes,Lasthenia californica,113,POINT (-116.503 34.143),7
487,-118.411,33.376,17,03,1997,yes,Lasthenia californica,76,POINT (-118.411 33.376),6
488,-121.424,36.744,22,04,2006,yes,Lasthenia californica,112,POINT (-121.424 36.744),4
489,-117.635,34.409,03,04,1997,yes,Lasthenia californica,93,POINT (-117.635 34.409),7
491,-116.494,34.136,13,03,2016,yes,Lasthenia californica,73,POINT (-116.494 34.136),7
492,-116.967,33.45,16,03,1995,yes,Lasthenia californica,75,POINT (-116.967 33.45),6
500,-116.382,33.051,31,03,2005,yes,Lasthenia californica,90,POINT (-116.382 33.051),7
502,-122.94,38.033,27,05,1969,yes,Lasthenia californica,147,POINT (-122.94 38.033),1
503,-116.573,32.764,04,07,1980,yes,Lasthenia californica,186,POINT (-116.573 32.764),6
504,-119.726,33.972,06,05,1991,yes,Lasthenia californica,126,POINT (-119.726 33.972),6
506,-119.922,34.058,24,04,1979,yes,Lasthenia californica,114,POINT (-119.922 34.058),6
508,-120.852,38.033,26,03,2013,yes,Lasthenia californica,85,POINT (-120.852 38.033),5
510,-116.741,33.351,27,03,1971,yes,Lasthenia californica,86,POINT (-116.741 33.351),6
511,-118.444,34.463,05,05,2005,yes,Lasthenia californica,125,POINT (-118.444 34.463),6
513,-118.405,33.388,16,04,1977,yes,Lasthenia californica,106,POINT (-118.405 33.388),6
516,-117.407,33.581,25,02,1992,yes,Lasthenia californica,56,POINT (-117.407 33.581),6
517,-117.127,33.593,03,05,2006,yes,Lasthenia californica,123,POINT (-117.127 33.593),6
518,-117.133,32.95,04,05,1979,yes,Lasthenia californica,124,POINT (-117.133 32.95),6
519,-121.941,38.389,04,05,2010,yes,Lasthenia californica,124,POINT (-121.941 38.389),2
520,-117.04,33.74,21,05,1998,yes,Lasthenia californica,141,POINT (-117.04 33.74),6
523,-120.91,38.105,04,04,2012,yes,Lasthenia californica,95,POINT (-120.91 38.105),5
526,-119.567,35.083,30,03,1983,yes,Lasthenia californica,89,POINT (-119.567 35.083),5
527,-118.478,33.447,12,02,1973,yes,Lasthenia californica,43,POINT (-118.478 33.447),6
528,-116.101,32.643,14,03,2001,yes,Lasthenia californica,73,POINT (-116.101 32.643),7
529,-116.696,32.867,02,04,2005,yes,Lasthenia californica,92,POINT (-116.696 32.867),6
530,-116.967,33.45,10,05,1991,yes,Lasthenia californica,130,POINT (-116.967 33.45),6
532,-117.033,33.35,08,04,1997,yes,Lasthenia californica,98,POINT (-117.033 33.35),6
533,-116.406,33.042,31,03,2004,yes,Lasthenia californica,91,POINT (-116.406 33.042),7
534,-116.488,32.934,13,05,2003,yes,Lasthenia californica,133,POINT (-116.488 32.934),7
537,-116.346,32.639,19,04,2003,yes,Lasthenia californica,109,POINT (-116.346 32.639),6
538,-116.958,33.7,21,04,1969,yes,Lasthenia californica,111,POINT (-116.958 33.7),6
541,-120.449,34.805,01,05,1993,yes,Lasthenia californica,121,POINT (-120.449 34.805),6
543,-116.921,33.396,13,04,1997,yes,Lasthenia californica,103,POINT (-116.921 33.396),6
544,-116.652,33.967,09,03,2005,yes,Lasthenia californica,68,POINT (-116.652 33.967),7
545,-120.889,38.409,17,03,2007,yes,Lasthenia californica,76,POINT (-120.889 38.409),5
546,-116.917,32.675,16,03,1985,yes,Lasthenia californica,75,POINT (-116.917 32.675),6
547,-123.797,39.488,06,06,1966,yes,Lasthenia californica,157,POINT (-123.797 39.488),1
548,-118.417,33.383,06,04,1966,yes,Lasthenia californica,96,POINT (-118.417 33.383),6
550,-116.573,32.764,25,04,1980,yes,Lasthenia californica,116,POINT (-116.573 32.764),6
552,-117.339,33.509,23,03,2005,yes,Lasthenia californica,82,POINT (-117.339 33.509),6
553,-116.664,33.103,11,03,2005,yes,Lasthenia californica,70,POINT (-116.664 33.103),6
554,-117.25,32.963,07,04,2005,yes,Lasthenia californica,97,POINT (-117.25 32.963),6
557,-116.558,32.982,10,03,1986,yes,Lasthenia californica,69,POINT (-116.558 32.982),6
558,-119.943,35.271,25,03,2008,yes,Lasthenia californica,85,POINT (-119.943 35.271),5
559,-116.27,32.612,16,03,1999,yes,Lasthenia californica,75,POINT (-116.27 32.612),7
561,-116.222,32.664,29,04,2003,yes,Lasthenia californica,119,POINT (-116.222 32.664),7
563,-116.629,32.902,17,05,2003,yes,Lasthenia californica,137,POINT (-116.629 32.902),6
565,-119.436,34.014,04,04,1996,yes,Lasthenia californica,95,POINT (-119.436 34.014),6
568,-116.918,32.654,09,04,2001,yes,Lasthenia californica,99,POINT (-116.918 32.654),6
570,-117.287,33.506,18,04,1968,yes,Lasthenia californica,109,POINT (-117.287 33.506),6
571,-122.94,38.033,27,05,1969,yes,Lasthenia californica,147,POINT (-122.94 38.033),1
572,-116.535,32.997,19,03,2003,yes,Lasthenia californica,78,POINT (-116.535 32.997),7
573,-120.412,34.043,01,05,1979,yes,Lasthenia californica,121,POINT (-120.412 34.043),6
